numero_catalogo,titulo,ano,denominacao,moeda,descricao_tematica,descricao_tecnica,dentado,tiragem,temas
PT-4963,Fauna — Lobo Ibérico,2023,1.25,EUR,O lobo ibérico (Canis lupus signatus) é um predador em risco de extinção que habita a serra da Peneda-Gerês.,Offset 4 cores. Formato 40×30mm.,13½,400000,Fauna
PT-4964,Fauna — Lince-ibérico,2023,1.25,EUR,O lince-ibérico (Lynx pardinus) é o felídeo mais ameaçado do mundo. Reintroduzido em Portugal.,Offset 4 cores. Formato 40×30mm.,13½,400000,Fauna
PT-4965,Fauna — Cegonha-branca,2023,0.65,EUR,A cegonha-branca (Ciconia ciconia) é uma ave migratória que nidifica em Portugal. Símbolo do Alentejo.,Offset 4 cores. Formato 40×30mm.,13½,500000,Fauna
PT-4900,Arquitectura — Mosteiro dos Jerónimos,2022,0.53,EUR,Mosteiro dos Jerónimos em Belém. Obra-prima do estilo Manuelino. Património da Humanidade UNESCO desde 1983.,Calcografia + Offset. Formato 52×31mm.,13¾,350000,Arquitectura;História
PT-4901,Arquitectura — Torre de Belém,2022,0.53,EUR,Torre de Belém (séc. XVI). Construída por Francisco de Arruda. Símbolo de Lisboa e dos Descobrimentos. UNESCO.,Calcografia + Offset. Formato 31×52mm.,13¾,350000,Arquitectura;História
PT-4850,Arte — Amadeo de Souza-Cardoso,2021,0.53,EUR,"Homenagem a Amadeo de Souza-Cardoso (1887–1918), pioneiro do modernismo português. Obra ""Entrada"" (1917).",Offset 6 cores. Formato 32×52mm.,14,300000,Arte;Personagens
PT-4851,Arte — Paula Rego,2021,2.00,EUR,"Paula Rego (1935–2022), pintora portuguesa de renome mundial. Obra ""The Family"" (1988).",Offset 6 cores. Formato 52×32mm.,14,200000,Arte;Personagens
PT-4780,História — Revolução de Abril,2024,0.78,EUR,50.º aniversário da Revolução do 25 de Abril de 1974. Cravo vermelho sobre fundo verde — símbolo da liberdade.,Offset 4 cores. Formato 40×30mm.,13½,1500000,História
PT-4781,História — Fernando Pessoa,2024,1.25,EUR,"Fernando Pessoa (1888–1935), o maior poeta português do séc. XX. Evoca os heterónimos Alberto Caeiro, Álvaro de Campos e Ricardo Reis.",Calcografia. Formato 28×42mm.,13¾,500000,Personagens;História
PT-4700,Flora — Sobreiro,2020,0.53,EUR,O sobreiro (Quercus suber) é a árvore nacional portuguesa. Portugal é o maior produtor mundial de cortiça.,Offset 5 cores. Formato 38×27mm.,14,600000,Flora
PT-4701,Flora — Oliveira,2020,0.53,EUR,"A oliveira (Olea europaea) é símbolo de longevidade e paz. Portugal é um dos maiores produtores mundiais de azeite virgem extra.",Offset 5 cores. Formato 38×27mm.,14,600000,Flora
PT-4702,Flora — Azinheira,2020,0.78,EUR,A azinheira (Quercus ilex) domina o montado alentejano. Fundamental para o ecossistema e para a produção de bolota.,Offset 5 cores. Formato 38×27mm.,14,600000,Flora
PT-4600,Desporto — Benfica 125 Anos,2029,0.65,EUR,125.º aniversário do Sport Lisboa e Benfica. Estádio da Luz e troféu da Liga dos Campeões.,Offset 4 cores. Formato 44×33mm.,13½,2000000,Desporto
PT-4550,Transportes — Elétrico de Lisboa,2019,0.53,EUR,"Elétrico 28, ícone do turismo lisboeta desde 1914. Percurso Martim Moniz–Prazeres pelas colinas de Lisboa.",Offset 4 cores. Formato 44×28mm.,13¾,800000,Transportes
PT-4551,Transportes — Comboio Alfa Pendular,2019,1.00,EUR,O Alfa Pendular é o comboio rápido da CP entre Lisboa e Porto. Tecnologia de inclinação activa para maior velocidade em curvas.,Offset 4 cores. Formato 44×28mm.,13¾,600000,Transportes
PT-4400,Natureza — Parque Natural da Arrábida,2018,0.53,EUR,A Serra da Arrábida e o litoral de águas cristalinas. Reserva da biosfera com vegetação mediterrânica única na Europa ocidental.,Offset 5 cores. Formato 52×31mm.,13½,700000,Natureza
PT-4401,Natureza — Parque Nacional Peneda-Gerês,2018,0.53,EUR,O único Parque Nacional de Portugal. Rios de montanha e paisagens graníticas da Serra Amarela e do Gerês.,Offset 5 cores. Formato 52×31mm.,13½,700000,Natureza
PT-4300,Espaço — Satélite PoSAT-1,2017,0.86,EUR,PoSAT-1 foi o primeiro satélite português. Lançado em 1993 pela Universidade de Surrey. Marco na engenharia espacial nacional.,Offset 4 cores. Formato 40×30mm.,13½,400000,Espaço;História
PT-4200,Descobrimentos — Vasco da Gama,2016,0.53,EUR,"Vasco da Gama (c. 1460–1524) descobriu a rota marítima para a Índia em 1498, ligando a Europa à Ásia pelo Oceano Índico.",Calcografia + Offset. Formato 38×50mm.,14,1000000,História;Personagens
PT-4201,Descobrimentos — Pedro Álvares Cabral,2016,1.00,EUR,"Pedro Álvares Cabral (c. 1467–1520) descobriu o Brasil a 22 de Abril de 1500, durante a expedição para a Índia.",Calcografia + Offset. Formato 38×50mm.,14,800000,História;Personagens
